FECHA,Temp_Ponderada_MAX,Temp_Ponderada_MIN
2023-12-31,13.67,5.27
2024-01-01,12.71,4.24
2024-01-02,13.21,4.19
2024-01-03,15.51,9.07
2024-01-04,14.01,7.55
2024-01-05,11.28,5.93
2024-01-06,11.77,3.79
2024-01-07,11.63,2.55
2024-01-08,10.04,0.56
2024-01-09,9.67,2.42
2024-01-10,9.03,4.52
2024-01-11,9.63,2.73
2024-01-12,10.6,1.12
2024-01-13,11.47,1.89
2024-01-14,13.98,5.78
2024-01-15,15.52,8.45
2024-01-16,16.04,10.01
2024-01-17,16.22,10.5
2024-01-18,17.28,10.49
2024-01-19,12.25,4.44
2024-01-20,10.96,2.36
2024-01-21,12.72,2.74
2024-01-22,13.61,3.47
2024-01-23,15.92,5.72
2024-01-24,17.73,6.18
2024-01-25,18.04,5.63
2024-01-26,19.23,6.13
2024-01-27,17.72,6.26
2024-01-28,16.53,5.64
2024-01-29,15.24,7.85
2024-01-30,15.23,6.63
2024-01-31,14.58,5.37
2024-02-01,16.66,4.61
2024-02-02,16.1,5.38
2024-02-03,16.87,4.58
2024-02-04,17.63,4.47
2024-02-05,16.69,4.3
2024-02-06,15.43,5.79
2024-02-07,15.73,5.21
2024-02-08,16.23,8.54
2024-02-09,14.19,9.42
2024-02-10,13.13,6.54
2024-02-11,12.25,5.13
2024-02-12,17.92,6.71
2024-02-13,17.47,8.27
2024-02-14,18.64,8.47
2024-02-15,17.72,9.66
2024-02-16,15.5,8.41
2024-02-17,17.7,6.38
2024-02-18,17.96,5.52
2024-02-19,18.53,7.78
2024-02-20,18.75,5.98
2024-02-21,16.61,5.48
2024-02-22,16.57,8.23
2024-02-23,13.07,5.37
2024-02-24,12.84,4.6
2024-02-25,14.3,6.31
2024-02-26,14.1,6.84
2024-02-27,14.09,5.59
2024-02-28,15.13,5.36
2024-02-29,15.58,4.22
2024-03-01,15.48,4.77
2024-03-02,12.86,4.96
2024-03-03,12.2,3.5
2024-03-04,14.69,5.31
2024-03-05,15.49,4.84
2024-03-06,15.72,2.95
2024-03-07,15.09,5.42
2024-03-08,13.45,6.23
2024-03-09,11.51,6.01
2024-03-10,14.4,5.52
2024-03-11,15.84,6.3
2024-03-12,16.85,4.86
2024-03-13,18.61,5.24
2024-03-14,17.77,6.71
2024-03-15,18.95,8.71
2024-03-16,19.75,8.91
2024-03-17,20.2,10.15
2024-03-18,20.95,9.74
2024-03-19,21.69,10.57
2024-03-20,20.5,10.84
2024-03-21,21.64,11.68
2024-03-22,24.77,11.28
2024-03-23,21.61,11.03
2024-03-24,19.27,9.75
2024-03-25,14.6,8.95
2024-03-26,13.32,5.52
2024-03-27,15.52,5.54
2024-03-28,18.16,9.7
2024-03-29,15.38,8.34
2024-03-30,14.57,7.16
2024-03-31,13.68,7.01
2024-04-01,16.24,5.95
2024-04-02,16.31,7.03
2024-04-03,20.15,9.51
2024-04-04,20.74,8.79
2024-04-05,22.56,10.8
2024-04-06,22.0,11.57
